uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
9a967295-4a78-4e8b-9ea5-a5186a63e772,Week Ahead - Will U.S. Core CPI Stay At The Lowest Levels Since 2021?,"Everyone will be watching the US inflation report, as the report could help support soft landing hopes and seal the deal for some that the Fed is done raising rates.",,"metamorworks

US

Everyone will be watching the US inflation report, as a cool report could help support soft landing hopes and seal the deal for some that the ...",https://seekingalpha.com/article/4624380-week-ahead-will-us-core-cpi-stay-at-the-lowest-levels-since-2021,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1315599813/image_1315599813.jpg?io=getty-c-w1536,en,2023-08-05T12:16:00.000000Z,seekingalpha.com,,cryptocurrency,,20.51183,0.1531
379f7766-ab6d-4bd4-90c4-dc373a094cd6,"Crypto Analyst Confident About Bitcoin's Surge, But There's A Catch","Well-known cryptocurrency analyst Tone Vays says that the price of Bitcoin (CRYPTO: BTC) will trend upwards as long as the support level at $28,000 is not breached.",,"Well-known cryptocurrency analyst Tone Vays says that the price of Bitcoin BTC/USD will trend upwards as long as the support level at $28,000 is not breached.

...",https://www.benzinga.com/markets/cryptocurrency/23/08/33590429/crypto-analyst-confident-about-bitcoins-surge-but-theres-a-catch,https://cdn.benzinga.com/files/images/story/2023/08/06/bitcoin.jpg?width=1200&height=800&fit=crop,en,2023-08-06T12:53:17.000000Z,benzinga.com,,cryptocurrency,,42.497112,0.4019
abe99e6c-c4c7-48f9-bf59-e68bc2d4f1b3,Can Bitcoin Touch $100K Before 2024 Halving: Crypto Bro Wagers 1M Satoshis,"Blockstream CEO Adam Back, has expressed his confidence in Bitcoin (CRYPTO: BTC) reaching a new all-time high of over $100,000 before the cryptocurrency’s halving event in 2024.",,"Blockstream CEO Adam Back, has expressed his confidence in Bitcoin BTC/USD reaching a new all-time high of over $100,000 before the cryptocurrency’s halving e...",https://www.benzinga.com/markets/cryptocurrency/23/08/33592640/can-bitcoin-touch-100k-before-2024-halving-crypto-bro-wagers-1m-satoshis,https://cdn.benzinga.com/files/images/story/2023/Bitcoin_Photo_by_AlyoshinE_on_Shutterstock_17.jpeg?width=1200&height=800&fit=crop,en,2023-08-07T04:43:36.000000Z,benzinga.com,,cryptocurrency,,60.19874,0.31245
5fc2f818-cb33-4aba-bf22-954ed7880489,"Ethereum Edges Higher; Bitcoin Cash, Dash Among Top Gainers","Bitcoin (CRYPTO: BTC) edged higher, with the cryptocurrency prices trading above the key $29,000 level on Monday. Ethereum (CRYPTO: ETH) also moved slightly higher, trading above the key $1,800 mark this morning.",,"Bitcoin BTC/USD edged higher, with the cryptocurrency prices trading above the key $29,000 level on Monday.

Ethereum ETH/USD also moved slightly higher, tradin...",https://www.benzinga.com/markets/cryptocurrency/23/08/33601194/ethereum-edges-higher-bitcoin-cash-dash-among-top-gainers,https://cdn.benzinga.com/files/images/story/2023/08/07/ethereum_-_logo.jpg?width=1200&height=800&fit=crop,en,2023-08-07T13:37:44.000000Z,benzinga.com,,cryptocurrency,,55.97029,-0.3818
135ef30d-ffde-421f-a953-6731d6da62f8,Singapore Red Cross Accepts Crypto Donations: Is This The Future of Philanthropy?,"The Singapore Red Cross, a charity dedicated to humanitarian aid and community services, has expanded its donation methods to include cryptocurrency.",,"The Singapore Red Cross, a charity dedicated to humanitarian aid and community services, has expanded its donation methods to include cryptocurrency.

Donors ca...",https://www.benzinga.com/markets/cryptocurrency/23/08/33600131/singapore-red-cross-accepts-crypto-donations-is-this-the-future-of-philanthropy,https://cdn.benzinga.com/files/images/story/2023/08/07/singapore_redcross.jpg?width=1200&height=800&fit=crop,en,2023-08-07T14:03:44.000000Z,benzinga.com,,cryptocurrency,,48.39769,0.4767
3ea0bf47-78ca-4360-8015-9179447c6ea4,Veteran Trader Peter Brandt Says 99.8% Of Altcoins Will Meet Similar Fate To Internet Marketer Richard Heart's HEX,Popular veteran trader Peter Brandt on Sunday said that 99.8% of altcoins will eventually meet a similar fate as HEX coin.,,"Popular veteran trader Peter Brandt on Sunday said that 99.8% of altcoins will eventually meet a similar fate as HEX coin.

What Happened: Brandt in a tweet sai...",https://www.benzinga.com/markets/cryptocurrency/23/08/33598107/veteran-trader-peter-brandt-says-99-8-of-altcoins-will-meet-similar-fate-to-internet-marke,https://cdn.benzinga.com/files/images/story/2023/Cryptocurrency_Photo_by_Igor_Faun_on_Shutterstock_16.jpeg?width=1200&height=800&fit=crop,en,2023-08-07T11:59:20.000000Z,benzinga.com,,cryptocurrency,,46.740913,0.8398
70d64f58-2a9b-464b-9a45-c6c0dc1ff986,"As Bitcoin Bears Rampage, Solana And Other Altcoins See Inflows","Digital asset investment products experienced a downturn this week, with outflows reaching a total of $107 million.",,"Digital asset investment products experienced a downturn this week, with outflows reaching a total of $107 million.

This trend indicates an accelerated pace of...",https://www.benzinga.com/markets/cryptocurrency/23/08/33599598/as-bitcoin-bears-rampage-solana-and-other-altcoins-see-inflows,https://cdn.benzinga.com/files/images/story/2023/08/07/bitcoin_chart_shutter2.jpg?width=1200&height=800&fit=crop,en,2023-08-07T14:12:43.000000Z,benzinga.com,,cryptocurrency,,45.197704,0.2648
d3cf04a6-2d33-469a-aaf7-e550e783ece3,"Bitcoin, Ethereum, Dogecoin Traded Mixed Amid CRV Hack Drama: Analyst Says King Crypto 'Screaming Up' As Halving Draws Near","Major cryptocurrencies experienced a mixed trading session on Sunday evening, as market attention turned towards the turmoil surrounding Curve Finance and its CRV token.",,"Major cryptocurrencies experienced a mixed trading session on Sunday evening, as market attention turned towards the turmoil surrounding Curve Finance and its C...",https://www.benzinga.com/markets/cryptocurrency/23/08/33592193/bitcoin-ethereum-dogecoin-traded-mixed-amid-crv-hack-drama-analyst-says-king-crypto-scream,https://cdn.benzinga.com/files/images/story/2023/Cryptocurrency_Photo_by_SvetlanaParnikova_on_Shutterstock_9.jpeg?width=1200&height=800&fit=crop,en,2023-08-07T02:26:09.000000Z,benzinga.com,,cryptocurrency,,43.851494,0.0
a316c7db-40f1-43ba-9c1e-97c0b7ebc838,"If You Invested $1,000 In Bitcoin When 'The Simpsons' First Mentioned It, You'd Have This Much Today","Since 1989, “The Simpsons” has entertained fans around the world and provided endless pop culture references to pop culture and current world events. The animated comedy has also been known to predict major world events.",,"Since 1989, “The Simpsons” has entertained fans around the world and provided endless pop culture references to pop culture and current world events. The an...",https://www.benzinga.com/markets/cryptocurrency/23/08/33604168/if-you-invested-1-000-in-bitcoin-when-the-simpsons-first-mentioned-it-youd-have-this-much-,https://cdn.benzinga.com/files/images/story/2023/08/07/untitled_design55.jpg?width=1200&height=800&fit=crop,en,2023-08-07T16:47:43.000000Z,benzinga.com,,cryptocurrency,,41.143005,0.0
e5fd02f2-da8f-4b33-8003-7e2c10abb68c,PayPal USD: A New Stablecoin Enters The Arena (NASDAQ:PYPL),"PayPal launched PYUSD stablecoin on Ethereum, which raises questions about its monetization and potential impact on its core business. See why PYPL stock is a Hold.",,"Justin Sullivan

After halting development due to regulatory concerns earlier this year, peer to peer payment giant PayPal (NASDAQ:PYPL) has officially launched...",https://seekingalpha.com/article/4625086-paypal-usd-a-new-stablecoin-enters-the-arena,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1461793984/image_1461793984.jpg?io=getty-c-w1536,en,2023-08-07T23:44:53.000000Z,seekingalpha.com,,cryptocurrency,,24.621923,-0.0074
